kp_id,kp_url,kp_full_name,name,vote_date,vote
1040690,https://www.kinopoisk.ru/film/1040690/,Середина 90-х (2018),Mid90s,17.03.2019,10
1142619,https://www.kinopoisk.ru/film/1142619/,Громкая связь (2018), ,13.03.2019,3
894027,https://www.kinopoisk.ru/film/894027/,Форсаж 8 (2017),The Fate of the Furious,10.03.2019,7
568289,https://www.kinopoisk.ru/film/568289/,Богемская рапсодия (2018),Bohemian Rhapsody,04.03.2019,7
623744,https://www.kinopoisk.ru/film/623744/,Побочный эффект (2013),Side Effects,24.02.2019,9
463803,https://www.kinopoisk.ru/film/463803/,Человек на Луне (2018),First Man,09.02.2019,5
596274,https://www.kinopoisk.ru/film/596274/,Прогулка среди могил (2014),A Walk Among the Tombstones,08.02.2019,3
4250,https://www.kinopoisk.ru/film/4250/,Четыре комнаты (1995),Four Rooms,31.01.2019,7
1224670,https://www.kinopoisk.ru/film/1224670/,Черное зеркало. Бандерснэтч (2018),Black Mirror: Bandersnatch,31.01.2019,8
1047143,https://www.kinopoisk.ru/film/1047143/,Ничего хорошего в отеле «Эль Рояль» (2018),Bad Times at the El Royale,27.01.2019,10
474935,https://www.kinopoisk.ru/film/474935/,Звезда родилась (2018),A Star Is Born,26.01.2019,5
1074393,https://www.kinopoisk.ru/film/1074393/,Каяани (2017),Kajaani,18.01.2019,8
1176661,https://www.kinopoisk.ru/film/1176661/,Наблюдатель (2017),Voyeur,18.01.2019,7
1119439,https://www.kinopoisk.ru/film/1119439/,Тигр (2018),Tiikeri,18.01.2019,4
1147293,https://www.kinopoisk.ru/film/1147293/,Шведская классика (2017),A Swedish Classic,18.01.2019,7
1124657,https://www.kinopoisk.ru/film/1124657/,Juck (2018), ,18.01.2019,2
1104535,https://www.kinopoisk.ru/film/1104535/,Пошел ты (2018),Fuck You,18.01.2019,6
841518,https://www.kinopoisk.ru/film/841518/,Черепашки-ниндзя 2 (2016),Teenage Mutant Ninja Turtles: Out of the Shadows,12.01.2019,5
918087,https://www.kinopoisk.ru/film/918087/,Человек – швейцарский нож (2016),Swiss Army Man,11.01.2019,4
885316,https://www.kinopoisk.ru/film/885316/,Время первых (2017), ,10.01.2019,4
981230,https://www.kinopoisk.ru/film/981230/,Тренер (2018), ,09.01.2019,6
1045777,https://www.kinopoisk.ru/film/1045777/,Непрощенный (2018), ,09.01.2019,3
1049775,https://www.kinopoisk.ru/film/1049775/,Подбросы (2018), ,06.01.2019,2
586584,https://www.kinopoisk.ru/film/586584/,Семь психопатов (2012),Seven Psychopaths,05.01.2019,6
975249,https://www.kinopoisk.ru/film/975249/,"Здравствуй, папа, Новый год! 2 (2017)",Daddy's Home 2,04.01.2019,7
484428,https://www.kinopoisk.ru/film/484428/,"Здравствуй, папа, Новый год! (2015)",Daddy's Home,31.12.2018,7
944098,https://www.kinopoisk.ru/film/944098/,"Три билборда на границе Эббинга, Миссури (2017)","Three Billboards Outside Ebbing, Missouri",09.12.2018,8
