imdb,kp_poster_url,year,kp_id,type,genres,countries
tt5989218,https://st.kp.yandex.net/images/film_big/1007921.jpg,2018,1007921,movie,"[{'name': 'драма'}, {'name': 'мелодрама'}]","[{'name': 'США'}, {'name': 'Испания'}]"
tt7991608,https://st.kp.yandex.net/images/film_big/1115099.jpg,2021,1115099,movie,"[{'name': 'боевик'}, {'name': 'комедия'}, {'name': 'криминал'}]",[{'name': 'США'}]
tt6433456,https://st.kp.yandex.net/images/film_big/1036188.jpg,2018,1036188,movie,"[{'name': 'драма'}, {'name': 'биография'}]","[{'name': 'Швеция'}, {'name': 'Дания'}]"
tt3228774,https://st.kp.yandex.net/images/film_big/804662.jpg,2021,804662,movie,"[{'name': 'комедия'}, {'name': 'криминал'}, {'name': 'драма'}]","[{'name': 'США'}, {'name': 'Великобритания'}]"
tt14091030,https://st.kp.yandex.net/images/film_big/965936.jpg,2021,965936,movie,"[{'name': 'боевик'}, {'name': 'фантастика'}]",[{'name': 'США'}]
tt13024674,https://st.kp.yandex.net/images/film_big/1403664.jpg,2021,1403664,movie,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'криминал'}]","[{'name': 'Германия'}, {'name': 'США'}]"
tt10933000,https://st.kp.yandex.net/images/film_big/1179555.jpg,2020,1179555,movie,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'детектив'}]","[{'name': 'США'}, {'name': 'Канада'}]"
tt4080728,https://st.kp.yandex.net/images/film_big/848894.jpg,2015,848894,movie,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}]",[{'name': 'Швеция'}]
tt10919420,https://st.kp.yandex.net/images/film_big/1301710.jpg,2021,1301710,tv-series,"[{'name': 'триллер'}, {'name': 'драма'}]",[{'name': 'Корея Южная'}]
tt0189998,https://st.kp.yandex.net/images/film_big/825.jpg,2000,825,movie,"[{'name': 'ужасы'}, {'name': 'драма'}]","[{'name': 'Великобритания'}, {'name': 'Люксембург'}, {'name': 'США'}]"
tt12028944,https://st.kp.yandex.net/images/film_big/1254059.jpg,2020,1254059,movie,"[{'name': 'драма'}, {'name': 'биография'}]",[{'name': 'Россия'}]
tt1392170,https://st.kp.yandex.net/images/film_big/468581.jpg,2012,468581,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'триллер'}, {'name': 'приключения'}]",[{'name': 'США'}]
tt1160419,https://st.kp.yandex.net/images/film_big/409424.jpg,2021,409424,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'драма'}, {'name': 'приключения'}]","[{'name': 'США'}, {'name': 'Канада'}, {'name': 'Венгрия'}]"
tt9738784,https://st.kp.yandex.net/images/film_big/1209777.jpg,2020,1209777,movie,"[{'name': 'драма'}, {'name': 'военный'}, {'name': 'история'}]","[{'name': 'Россия'}, {'name': 'Германия'}, {'name': 'Беларусь'}]"
tt1219289,https://st.kp.yandex.net/images/film_big/462606.jpg,2011,462606,movie,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'фантастика'}]",[{'name': 'США'}]
tt12200256,https://st.kp.yandex.net/images/film_big/1183599.jpg,2020,1183599,movie,"[{'name': 'драма'}, {'name': 'боевик'}]",[{'name': 'Россия'}]
tt0358273,https://st.kp.yandex.net/images/film_big/21540.jpg,2005,21540,movie,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'биография'}, {'name': 'музыка'}]","[{'name': 'США'}, {'name': 'Германия'}]"
tt1596350,https://st.kp.yandex.net/images/film_big/497233.jpg,2012,497233,movie,"[{'name': 'боевик'}, {'name': 'мелодрама'}, {'name': 'комедия'}]",[{'name': 'США'}]
tt0241527,https://st.kp.yandex.net/images/film_big/689.jpg,2001,689,movie,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'семейный'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
tt7504726,https://st.kp.yandex.net/images/film_big/1060511.jpg,2020,1060511,movie,"[{'name': 'драма'}, {'name': 'приключения'}, {'name': 'семейный'}]","[{'name': 'США'}, {'name': 'Канада'}]"
tt5884052,https://st.kp.yandex.net/images/film_big/994864.jpg,2019,994864,movie,"[{'name': 'фантастика'}, {'name': 'фэнтези'}, {'name': 'детектив'}, {'name': 'приключения'}, {'name': 'семейный'}]","[{'name': 'США'}, {'name': 'Япония'}]"
tt7601480,https://st.kp.yandex.net/images/film_big/1109271.jpg,2021,1109271,movie,"[{'name': 'боевик'}, {'name': 'криминал'}, {'name': 'детектив'}, {'name': 'комедия'}]",[{'name': 'Россия'}]
tt1478839,https://st.kp.yandex.net/images/film_big/470191.jpg,2019,470191,movie,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}, {'name': 'спорт'}, {'name': 'семейный'}]",[{'name': 'США'}]
tt8333746,https://st.kp.yandex.net/images/film_big/1146252.jpg,2019,1146252,movie,"[{'name': 'фэнтези'}, {'name': 'драма'}, {'name': 'приключения'}]","[{'name': 'Италия'}, {'name': 'Франция'}, {'name': 'Великобритания'}]"
tt7146812,https://st.kp.yandex.net/images/film_big/1080513.jpg,2019,1080513,cartoon,"[{'name': 'мультфильм'}, {'name': 'фэнтези'}, {'name': 'комедия'}, {'name': 'приключения'}, {'name': 'семейный'}]",[{'name': 'США'}]
tt9620292,https://st.kp.yandex.net/images/film_big/1236567.jpg,2020,1236567,movie,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'криминал'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
tt11083552,https://st.kp.yandex.net/images/film_big/1318972.jpg,2021,1318972,movie,"[{'name': 'боевик'}, {'name': 'триллер'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
,https://st.kp.yandex.net/images/film_big/463418.jpg,2012,463418,movie,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}]",[{'name': 'США'}]
,https://st.kp.yandex.net/images/film_big/464573.jpg,2011,464573,movie,"[{'name': 'фантастика'}, {'name': 'комедия'}, {'name': 'мелодрама'}, {'name': 'приключения'}, {'name': 'драма'}]",[{'name': 'США'}]
tt2719848,https://st.kp.yandex.net/images/film_big/739642.jpg,2015,739642,movie,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'драма'}, {'name': 'приключения'}, {'name': 'биография'}]","[{'name': 'Великобритания'}, {'name': 'США'}, {'name': 'Исландия'}]"
tt4276820,https://st.kp.yandex.net/images/film_big/893245.jpg,2016,893245,movie,"[{'name': 'биография'}, {'name': 'драма'}]","[{'name': 'США'}, {'name': 'Греция'}]"
tt8265928,https://st.kp.yandex.net/images/film_big/1117379.jpg,2019,1117379,movie,"[{'name': 'комедия'}, {'name': 'мелодрама'}, {'name': 'фэнтези'}]","[{'name': 'Франция'}, {'name': 'Бельгия'}, {'name': 'Корея Южная'}]"
tt6270534,https://st.kp.yandex.net/images/film_big/1021046.jpg,2019,1021046,movie,[{'name': 'детектив'}],"[{'name': 'Франция'}, {'name': 'Бельгия'}]"
tt6723592,https://st.kp.yandex.net/images/film_big/1236063.jpg,2020,1236063,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'триллер'}, {'name': 'приключения'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
tt0824747,https://st.kp.yandex.net/images/film_big/279880.jpg,2008,279880,movie,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'криминал'}, {'name': 'детектив'}, {'name': 'биография'}, {'name': 'история'}]",[{'name': 'США'}]
tt0359950,https://st.kp.yandex.net/images/film_big/6034.jpg,2013,6034,movie,"[{'name': 'комедия'}, {'name': 'приключения'}, {'name': 'фэнтези'}, {'name': 'драма'}, {'name': 'мелодрама'}]","[{'name': 'США'}, {'name': 'Великобритания'}]"
tt11547520,https://st.kp.yandex.net/images/film_big/1188248.jpg,2020,1188248,movie,"[{'name': 'биография'}, {'name': 'история'}]",[{'name': 'Россия'}]
tt0467200,https://st.kp.yandex.net/images/film_big/195435.jpg,2008,195435,movie,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'биография'}, {'name': 'история'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
